instance,expression,feasible,objective,cost,distance,late_penalty,spoil_penalty,late_customers,spoil_customers,num_routes,runtime_sec,round_idx,known_opt_cost,set_id,dimension,gap,gap_pct
F-n135-k7,5 * est_spoil + travel_to_c,True,11219560.2,11219560.2,2200.0,1071097.5999999999,10146262.6,67,103,7,0.08330917358398438,0,,,,,
M-n101-k10,5 * est_spoil + travel_to_c,True,101337.0,101337.0,1481.0,0.0,99856.0,0,15,10,0.04669332504272461,0,,,,,
M-n121-k7,5 * est_spoil + travel_to_c,True,147182.6,147182.6,1785.0,918.3999999999999,144479.2,5,37,7,0.05772876739501953,0,,,,,
M-n151-k12,5 * est_spoil + travel_to_c,True,143170.4,143170.4,1897.0,0.0,141273.4,0,30,12,0.09214067459106445,0,,,,,
M-n200-k16,5 * est_spoil + travel_to_c,True,168713.0,168713.0,2228.0,0.0,166485.0,0,32,17,0.15591979026794434,0,,,,,
M-n200-k17,5 * est_spoil + travel_to_c,True,167401.4,167401.4,2189.0,0.0,165212.4,0,35,17,0.15353608131408691,0,,,,,
P-n101-k4,5 * est_spoil + travel_to_c,True,371415.4,371415.4,1077.0,46100.0,324238.4,31,60,4,0.042806386947631836,0,,,,,
P-n23-k8,20 * est_spoil + travel_to_c + 2 * est_lateness,True,4775.0,4775.0,746.0,0.0,4029.0,0,1,9,0.0017058849334716797,0,,,,,
A-n38-k5,20 * est_spoil + travel_to_c + 2 * est_lateness,True,24677.399999999998,24677.399999999998,1091.0,209.6,23376.8,2,5,5,0.007180213928222656,0,,,,,
A-n33-k5,20 * est_spoil + travel_to_c + 2 * est_lateness,True,21458.0,21458.0,969.0,0.0,20489.0,0,6,5,0.0049855709075927734,0,,,,,
B-n35-k5,20 * est_spoil + travel_to_c + 2 * est_lateness,True,21448.2,21448.2,1275.0,436.79999999999995,19736.4,1,8,5,0.0054318904876708984,0,,,,,
B-n31-k5,20 * est_spoil + travel_to_c + 2 * est_lateness,True,21328.0,21328.0,946.0,0.0,20382.0,0,3,5,0.003922700881958008,0,,,,,
A-n48-k7,20 * est_spoil + travel_to_c + 2 * est_lateness,True,13819.0,13819.0,1597.0,0.0,12222.0,0,5,7,0.010229110717773438,0,,,,,
A-n39-k5,20 * est_spoil + travel_to_c + 2 * est_lateness,True,55237.600000000006,55237.600000000006,1275.0,168.79999999999998,53793.8,3,12,5,0.00622868537902832,0,,,,,
A-n37-k6,20 * est_spoil + travel_to_c + 2 * est_lateness,True,35735.0,35735.0,1440.0,0.0,34295.0,0,9,6,0.00485682487487793,0,,,,,
P-n16-k8,20 * est_spoil + travel_to_c + 2 * est_lateness,True,497.0,497.0,497.0,0.0,0.0,0,0,8,0.0010972023010253906,0,,,,,
A-n37-k5,20 * est_spoil + travel_to_c + 2 * est_lateness,True,32260.0,32260.0,1016.0,0.0,31244.0,0,7,5,0.006051778793334961,0,,,,,
P-n70-k10,20 * est_spoil + travel_to_c + 2 * est_lateness,True,75862.0,75862.0,1219.0,0.0,74643.0,0,10,10,0.02043628692626953,0,,,,,
E-n76-k8,20 * est_spoil + travel_to_c + 2 * est_lateness,True,79435.6,79435.6,1127.0,0.0,78308.6,0,12,8,0.026318788528442383,0,,,,,
A-n55-k9,20 * est_spoil + travel_to_c + 2 * est_lateness,True,47148.4,47148.4,1668.0,374.4,45106.0,1,8,9,0.012406110763549805,0,,,,,
A-n54-k7,20 * est_spoil + travel_to_c + 2 * est_lateness,True,40602.6,40602.6,1610.0,168.0,38824.6,1,15,7,0.01250147819519043,0,,,,,
A-n62-k8,20 * est_spoil + travel_to_c + 2 * est_lateness,True,21919.0,21919.0,1812.0,0.0,20107.0,0,10,8,0.016021013259887695,0,,,,,
B-n52-k7,20 * est_spoil + travel_to_c + 2 * est_lateness,True,34096.0,34096.0,1318.0,0.0,32778.0,0,3,7,0.011169672012329102,0,,,,,
