instance,expression,cost,runtime_sec,feasible,num_routes,round_idx,known_opt_cost,set_id,dimension,gap,gap_pct
A-n39-k5,dist_matrix[c][instance['depot']] + dist_matrix[current][c],1268.0,0.007642030715942383,True,5,1,822.0,A,39,446.0,54.257907542579076
A-n37-k6,dist_matrix[c][instance['depot']] + dist_matrix[current][c],1466.0,0.005877017974853516,True,6,1,949.0,A,37,517.0,54.478398314014754
P-n16-k8,dist_matrix[c][instance['depot']] + dist_matrix[current][c],475.0,0.0010156631469726562,True,8,1,450.0,P,16,25.0,5.555555555555555
A-n37-k5,dist_matrix[c][instance['depot']] + dist_matrix[current][c],1008.0,0.00797128677368164,True,5,1,669.0,A,37,339.0,50.672645739910315
P-n70-k10,dist_matrix[c][instance['depot']] + dist_matrix[current][c],1196.0,0.02606511116027832,True,10,1,827.0,P,70,369.0,44.619105199516326
E-n76-k8,dist_matrix[c][instance['depot']] + dist_matrix[current][c],1236.0,0.029814720153808594,True,8,1,735.0,E,76,501.0,68.16326530612244
A-n55-k9,dist_matrix[c][instance['depot']] + dist_matrix[current][c],1468.0,0.0143585205078125,True,9,1,1073.0,A,55,395.0,36.81267474370923
A-n54-k7,dist_matrix[c][instance['depot']] + dist_matrix[current][c],1497.0,0.015197515487670898,True,7,1,1167.0,A,54,330.0,28.277634961439592
A-n62-k8,dist_matrix[c][instance['depot']] + dist_matrix[current][c],1925.0,0.020151138305664062,True,8,1,1288.0,A,62,637.0,49.45652173913043
B-n52-k7,dist_matrix[c][instance['depot']] + dist_matrix[current][c],1297.0,0.014086246490478516,True,7,1,747.0,B,52,550.0,73.62784471218207
B-n56-k7,dist_matrix[c][instance['depot']] + dist_matrix[current][c],1299.0,0.019362449645996094,True,7,1,707.0,B,56,592.0,83.73408769448373
P-n55-k7,dist_matrix[c][instance['depot']] + dist_matrix[current][c],893.0,0.017798900604248047,True,7,1,568.0,P,55,325.0,57.21830985915493
P-n65-k10,dist_matrix[c][instance['depot']] + dist_matrix[current][c],1170.0,0.022932052612304688,True,10,1,792.0,P,65,378.0,47.72727272727273
B-n63-k10,dist_matrix[c][instance['depot']] + dist_matrix[current][c],1961.0,0.021156787872314453,True,10,1,1496.0,B,63,465.0,31.082887700534762
E-n101-k14,dist_matrix[c][instance['depot']] + dist_matrix[current][c],1630.0,0.051902055740356445,True,14,1,1067.0,E,101,563.0,52.76476101218369
E-n101-k8,dist_matrix[c][instance['depot']] + dist_matrix[current][c],1528.0,0.053987979888916016,True,8,1,815.0,E,101,713.0,87.48466257668711
F-n135-k7,dist_matrix[c][instance['depot']] + dist_matrix[current][c],1826.0,0.10064005851745605,True,7,1,1162.0,F,135,664.0,57.14285714285714
M-n101-k10,dist_matrix[c][instance['depot']] + dist_matrix[current][c],1239.0,0.05501842498779297,True,10,1,820.0,M,101,419.0,51.09756097560976
M-n121-k7,dist_matrix[c][instance['depot']] + dist_matrix[current][c],1660.0,0.07676291465759277,True,7,1,1034.0,M,121,626.0,60.541586073500966
M-n151-k12,dist_matrix[c][instance['depot']] + dist_matrix[current][c],1694.0,0.11999630928039551,True,12,1,1015.0,M,151,679.0,66.89655172413794
M-n200-k16,dist_matrix[c][instance['depot']] + dist_matrix[current][c],2110.0,0.20276856422424316,True,17,1,1274.0,M,200,836.0,65.62009419152275
M-n200-k17,dist_matrix[c][instance['depot']] + dist_matrix[current][c],2110.0,0.20950555801391602,True,17,1,1275.0,M,200,835.0,65.49019607843137
P-n101-k4,dist_matrix[c][instance['depot']] + dist_matrix[current][c],1109.0,0.05794572830200195,True,4,1,681.0,P,101,428.0,62.84875183553598
P-n23-k8,0.3 * dist_matrix[c][instance['depot']] + dist_matrix[current][c] - 0.5 * instance['demands'][c],637.0,0.0035507678985595703,True,9,1,529.0,P,23,108.0,20.415879017013232
A-n38-k5,0.3 * dist_matrix[c][instance['depot']] + dist_matrix[current][c] - 0.5 * instance['demands'][c],1050.0,0.009437084197998047,True,5,1,730.0,A,38,320.0,43.83561643835616
A-n33-k5,0.3 * dist_matrix[c][instance['depot']] + dist_matrix[current][c] - 0.5 * instance['demands'][c],883.0,0.007329702377319336,True,5,1,661.0,A,33,222.0,33.58547655068079
B-n35-k5,0.3 * dist_matrix[c][instance['depot']] + dist_matrix[current][c] - 0.5 * instance['demands'][c],1209.0,0.007833719253540039,True,5,1,955.0,B,35,254.0,26.596858638743452
B-n31-k5,0.3 * dist_matrix[c][instance['depot']] + dist_matrix[current][c] - 0.5 * instance['demands'][c],951.0,0.006439685821533203,True,5,1,672.0,B,31,279.0,41.517857142857146
A-n48-k7,0.3 * dist_matrix[c][instance['depot']] + dist_matrix[current][c] - 0.5 * instance['demands'][c],1588.0,0.014539957046508789,True,7,1,1073.0,A,48,515.0,47.99627213420317
